question_id,question_content,question_tags
1000543,will swelling after knee replacement surgery go down,nsaids  surgery  knee replacement
1001973,have had 1 wk of slight cramping and very sore breasts could this be due to pcos  changes to pms symptoms or possible pregnancyperiod due in 3 days,breast pain  polycystic ovary syndrome  premenstrual syndrome  trying to conceive  menstrual period  pregnancy
1003796,non drowsy claritin is making me hyper  why,drowsiness  loratadine  claritin
1004171,skin around vagina peeling why hurts  itches,hypersensitivity  gynecology  obstetrics and gynecology  gynecologist  allergies
1004543,swollen lymph node from bee sting  what to do,bee sting
1006651,headache  sore body  throat pain  ear pain symptoms have been going on for 2 days mild cough also,cough  throat pain  sore throat  earache  headache  mild cough  virus
1006808,why did my doctor put me in an imoblizer after knee microfracture knee surgery what is it helping im also toe touch weight bearing,tactile  surgery  knee surgery
1006907,red rash around my mouth nose and eyes itches and burns what can it be have had on and off for years its at its worse now,rash  eczema  skin rash  dermatitis  hypersensitivity  inflammation  allergic reaction  atopic dermatitis  allergies  atopy
1006927,had severe abd pain ct showed 6 cm ovarian cyst ruptured today us shows mod fluid in pelvis with cysts on both ovaries period tom is this normal,abdominal pain  ovarian cyst  rupture  pregnancy  computed tomography  pregnancy test
1007326,please help a sudden intense of fear  everytime i wake in the nyt  chest pain  worries  tingling in my feet is it still anxietynormal 2decho  ecg  stress t,stress  chest pain  feeling anxious  panic disorder  chest tightness  tingling  chest pressure  angina  panic attacks  behavior therapy
1007447,what causes knee pain can it mean bone cancer,knee pain  cancer  bone cancer  osteosarcoma
1007450,i have knee pain that cracks at times could this be bone cancer,arthritis  knee pain  cancer  bone cancer  osteosarcoma  wellness and lifestyle  orthopedic surgery
1007453,im 3 months after acl reconstruction surgery using a hamstring graft and sometimes my knee pops its never painful  but maybe uncomfortable,scarring  surgery  orthopedic surgery  graft  acl reconstruction
1007642,can i take melatonin with singulair and allegra d,singulair  montelukast  melatonin  fexofenadine  allegra d  allegra
1007735,pea size lump on right side of neck  painless  for 5 months can be moved side to side if pressed tingling numbness in right arm crp  esr raised,numbness  tingling  cardiopulmonary resuscitation  nerve  sedimentation rate  esr
1008082,when i see my doc for my 1st post op visit will he take me out of the knee imoblizer and put me in  a brace i had microfracture knee surgery last wk,surgery  knee surgery  braces
