question_id,question_content,question_tags
1000543,will swelling after knee replacement surgery go down,nsaids  surgery  knee replacement
1000766,beer gives me diarrhea celiac disease,loose stools  diarrhea  celiac disease
1001312,phentermine affects wound healing after breast reduction surgery  help,wounds  arrhythmia  protein  diet  anesthesia  atkins diet  wound healing  surgery  phentermine  ionamin
1001657,is it okay to take zyrtec with benadryl,zyrtec  diphenhydramine  cetirizine  benadryl
1001778,how come nondrowsy claritin still makes you tired,drowsiness  hypersensitivity  antihistamine  benadryl  allergies  loratadine  sleep  claritin
1002596,how long does it take for chlamydia to cause pelvic inflammatory disease,pelvic inflammatory disease  chlamydia infection
1003247,milky discharge missed period sore breasts pregnant  what is wrong,breast pain  missed period  pregnancy  home pregnancy test  pregnancy test
100434,what could be the cause of the swelling between my neck and shoulder is that a place for lymph nodes,
1004840,tonsillectomy  how long until you can have red foods,removal of tonsils
1005136,vomiting diarrhea fever dizzy will i go to hospital,vomiting  loose stools  dizziness  diarrhea  fever  emesis
1006830,irritated vagina redish and dry occasional burning itchhyness but never during urination 2 days yeast infection i shaved and had sex,yeast infection  urination  yeast  sex  micturition  candida
1007309,used ground flax seed daily until broke out with itchy red bumps on hand  leg and armi did scratch and caused terrible sores  swell now on my face,itchy rash  red bumps  flaxseed
1008013,headache  shaking  weakness  numbness in head arms hands feet and lower legs  extremy tired  short of breath and irreagular heart rythm what could this be,headache  numbness  shakes  breathlessness
1008082,when i see my doc for my 1st post op visit will he take me out of the knee imoblizer and put me in  a brace i had microfracture knee surgery last wk,surgery  knee surgery  braces
1009012,i have had tenderness to left armpit and groin for months with soreness down side and leg what could be the cause dr says stress,stress  enlarged lymph nodes  swollen glands
1009223,i have itchy bumps that leak clear fluid  hives and theres a reresidue in my hair i am also bleeding easy from small cutswhat is it,itchy rash  hives
1009349,i have pain on touch on rt shoulder blade  it has shifted from near the spine  radiates to spine  pains smwhr deep when i bend neck  am a smoker  chest ct normal  can this be lung cancer what is this,sprains and strains  muscle strain  bone pain  cancer  lung cancer  tactile  sprain  ct of chest  computed tomography  ct scan
1009755,rash when starting singulair for asthma,skin rash  asthma  rash  singulair  montelukast
1009876,noticed red blotchy rash looking spot about 12 inches above areola area on my left breastno trauma doesnt hurt or itchwhat could this be,eczema  skin rash  rash  dermatology
1010197,hard immobile lump size of fingernail right on bone behind ear  not jaw slightly tender to touch mild ringing of ears a few weeks ago thoughts,immobility  tactile  fingernails
